name,ra_deg,dec_deg,type,common_name,magnitude,major_axis_arcmin
M99,184.7063,14.4167,Galaxy,Coma Pinwheel,9.84,5.04
M100,185.7287,15.8223,Galaxy,,9.47,6.10
M101,210.8024,54.3488,Galaxy,Pinwheel Galaxy,7.90,23.99
M102,226.6232,55.7633,Galaxy,Spindle Galaxy,9.9,5.2
M103,23.3417,60.6500,Open Cluster,,7.40,4.50
M104,189.9976,-11.6231,Galaxy,Sombrero Galaxy,8.59,8.45
M105,161.9564,12.5817,Galaxy,,9.27,4.89
M106,184.7397,47.3042,Galaxy,,9.29,16.98
M107,248.1333,-13.0533,Globular Cluster,,8.85,7.80
M108,167.8792,55.6742,Galaxy,Surfboard Galaxy,10.05,3.98
M109,179.4000,53.3747,Galaxy,,9.88,8.07
M110,10.0917,41.6853,Galaxy,,8.15,16.22
